NAME;STATIONSHOEHE;LAENGE DEZI;BREITE DEZI
ROHRBACH;597;13.99416637;48.56972122
SCHÄRDING;307;13.43444443;48.46416855
ST.WOLFGANG;544;13.44194412;47.74027634
VÖCKLABRUCK;432;13.6455555;48.00666809
WAIZENKIRCHEN;400;13.86472225;48.32666779
WELS-SCHLEISSHEIM;309;14.07138824;48.16277695
WEYER;426;14.66583347;47.85722351
WINDISCHGARSTEN;600;14.32611084;47.72027588
WOLFSEGG;635;13.67083263;48.10555649
ABTENAU;709;13.34333324;47.56666565
BAD GASTEIN;1092;13.13333321;47.11055374
BISCHOFSHOFEN;550;13.22111034;47.4066658
GOLLING;490;13.18166637;47.59111023
GROSSARLTAL;882;13.19472218;47.24139023
KOLM SAIGURN;1626;12.98472214;47.06944275
KOLOMANSBERG;1113;13.27527714;47.8777771
KRIMML;1009;12.18194389;47.22916412
LOFER/ORT;622;12.69527721;47.58444595
LOFERER ALM;1620;12.64527702;47.59722137
MARIA ALM;792;12.8983326;47.40611267
MARIAPFARR;1151;13.74499989;47.15222168
MATTSEE;502;13.10555553;47.97722244
MITTERSILL;783;12.4958334;47.27916718
OBERTAUERN;1772;13.55972195;47.24888992
RADSTADT-TANDALIER;835;13.44083309;47.38000107
RAURIS;934;12.99249935;47.22360992
RUDOLFSHÜTTE;2317;12.62583256;47.13499832
SAALBACH;975;12.6483326;47.38777924
SALZBURG-FLUGHAFEN;430;13.00333309;47.79444504
SALZBURG-FREISAAL;418;13.05333328;47.79055405
SCHMITTENHÖHE;1956;12.73805523;47.32860947
SONNBLICK ;3109;12.95750046;47.05416489
ST.JOHANN IM PONGAU;634;13.18666649;47.31972122
ST.MICHAEL/LUNGAU;1052;13.62277699;47.09444427
ST.VEIT IM PONGAU;749;13.15499973;47.32916641
TAMSWEG;1025;13.8083334;47.13305664
ZELL AM SEE;770;12.7952776;47.32666779
AFLENZ;783;15.24083328;47.54583359
AIGEN/ENNSTAL;641;14.13833332;47.53277588
BAD AUSSEE;743;13.75833321;47.61055374
BAD GLEICHENBERG;269;15.90361118;46.8722229
BAD MITTERNDORF;814;13.93472195;47.55333328
BAD RADKERSBURG;207;15.99333286;46.6922226
BRUCK/MUR;482;15.24972153;47.40555573
DEUTSCHLANDSBERG;354;15.22694397;46.82166672
EICHBERG;692;15.93694401;47.40000153
FELDBACH;323;15.87972164;46.94888687
FISCHBACH;1034;15.64388847;47.44416809
FROHNLEITEN;421;15.31499958;47.2555542
